30JNVC0ORAXEEKDSS2LWFQBKFLUQHY,A997OZ3H2B3Q2,3TUOHPJXYHAEYNB0JCXMLIMGG4GXWQ,2014-10-06T19:02:53Z,2014-10-06T19:04:06Z,2014-10-06T20:07:15Z,4629,2371
3EQHHY4HQT5BL2ZJO4FBWF4S4QJG53,A19PATBI3SQNU0,3TUOHPJXYHAEYNB0JCXMLIMGG4GXWQ,2014-10-07T13:07:10Z,2014-10-07T13:49:08Z,2014-10-07T14:52:15Z,4629,2371
30MVJZJNHNQ4DRRWZ0DV581AIEH9JP,A3P7M9666KJCP,38O9DZ0A620F3STX45ZPXYT7FTN62O,2014-10-07T10:20:18Z,2014-10-07T10:22:30Z,2014-10-07T11:27:15Z,1280,11
34MAJL3QP50SV7JVFKPH8T950PJ34D,A19PATBI3SQNU0,38O9DZ0A620F3STX45ZPXYT7FTN62O,2014-10-07T13:06:07Z,2014-10-07T13:18:22Z,2014-10-07T14:22:15Z,1280,11
3WLEIWSYHPUXM1B7QRVVJ8DHZG6H23,AV3CA0IYNRCCJ,38O9DZ0A620F3STX45ZPXYT7FTN62O,2014-10-07T13:27:56Z,2014-10-07T13:28:36Z,2014-10-07T14:32:15Z,1280,11
3FE7TXL1LJ0AZUAA9HIPSM5IQ3Y2QG,A1QCQE5XW37LN1,337F8MIIMZQUSVM56U2WHCGEM4W04C,2014-10-07T09:59:50Z,2014-10-07T10:00:51Z,2014-10-07T11:02:15Z,1349,25
3EA3QWIZ4J8R2VG4FOXCK7NMZ6WITN,AV3CA0IYNRCCJ,337F8MIIMZQUSVM56U2WHCGEM4W04C,2014-10-07T12:12:06Z,2014-10-07T12:13:09Z,2014-10-07T13:17:16Z,1349,25
39GHHAVOMG43GLLKI5H4O0QUWM6J46,A31A4YKVSOYRVS,337F8MIIMZQUSVM56U2WHCGEM4W04C,2014-10-07T13:25:42Z,2014-10-07T13:27:32Z,2014-10-07T14:32:14Z,1349,25
3HRMW88U173CI594217USPSYJ4LM0X,A19PATBI3SQNU0,337F8MIIMZQUSVM56U2WHCGEM4W04C,2014-10-07T13:31:04Z,2014-10-07T14:17:12Z,2014-10-07T15:17:14Z,1349,25
3PPTZCWALRX055DMYOR3FXFPBB5ZQR,A997OZ3H2B3Q2,3MVY4USGB60O1B5W0LNKLJWGMEGSI6,2014-10-06T17:05:55Z,2014-10-06T17:07:01Z,2014-10-06T18:07:20Z,4748,2435
3137ONMDKHIBHLSCZ58E09A5HJ5EGP,A31A4YKVSOYRVS,3MVY4USGB60O1B5W0LNKLJWGMEGSI6,2014-10-07T01:15:23Z,2014-10-07T01:16:51Z,2014-10-07T02:17:17Z,4748,2435
36DSNE9QZ6B7KEV21PWD2YWZDD4OJJ,A1QCQE5XW37LN1,3MVY4USGB60O1B5W0LNKLJWGMEGSI6,2014-10-07T12:17:25Z,2014-10-07T12:19:19Z,2014-10-07T13:22:15Z,4748,2435
3XC1O3LBOTZTSWOA0RUPCNFEGARTLD,AV3CA0IYNRCCJ,3MVY4USGB60O1B5W0LNKLJWGMEGSI6,2014-10-07T13:05:07Z,2014-10-07T13:05:48Z,2014-10-07T14:07:17Z,4748,2435
33UKMF931AXHB9WF90WGYEPVAMWTTX,A31A4YKVSOYRVS,3UYRNV2KITCYWS1EJ3U790SWWJ3N8H,2014-10-06T23:12:46Z,2014-10-06T23:13:22Z,2014-10-07T00:17:16Z,1136,152
