3NGI5ARFTUIIAXRZQ03MNY53XOBP1M,A3MXBLYX2CDGTP,33K3E8REWW838MFIL9HG72JU19M8XM,2015-01-18T07:26:30Z,2015-01-18T07:28:10Z,2015-01-18T08:32:36Z,1,81
37Q970SNZFLFNP7RIH7GI3AEK8L1SH,A1JVUD5XUB9H48,33K3E8REWW838MFIL9HG72JU19M8XM,2015-01-18T13:20:16Z,2015-01-18T13:23:04Z,2015-01-18T14:27:37Z,1,81
3OLQQLKKNT2L8NID7BTHXM2LDZ1EJO,A3HPVFAF1U9WXK,33K3E8REWW838MFIL9HG72JU19M8XM,2015-01-19T09:06:09Z,2015-01-19T09:07:12Z,2015-01-19T10:07:36Z,1,81
3QEMNNSB2YCNWM3BA7T0OEFRMSC7DT,AYALPYEQ512PP,33K3E8REWW838MFIL9HG72JU19M8XM,2015-01-19T20:09:55Z,2015-01-19T20:12:40Z,2015-01-19T21:17:39Z,1,81
3DPNQGW4LMSRSQ6DYMNFFWLPE5C64V,A3PGULUBHF331P,33K3E8REWW838MFIL9HG72JU19M8XM,2015-01-20T08:39:08Z,2015-01-20T08:40:22Z,2015-01-20T09:42:37Z,1,81
3RKNTXVS3NBSFSIGOZ4RV1NBAORA4E,AQIURY9V7X00Z,3OJX0UFJ0ZKB5N4XLWC7NRF1RXO9UL,2015-01-21T00:39:00Z,2015-01-21T00:40:20Z,2015-01-21T01:42:38Z,3,125
339ANSOTR6FSZCQHLFJKJG0QKFFIK3,A3P7M9666KJCP,3IWA71V4TITG48WUSUKINON3VEX6XZ,2015-01-17T08:03:25Z,2015-01-17T08:14:32Z,2015-01-17T09:17:37Z,3,125
30BXRYBRP5AJYH9E4BK27FT678KWHT,A3PGULUBHF331P,3KTZHH2ONISSEAGE72F7WL3WU52M8G,2015-01-16T05:43:43Z,2015-01-16T05:47:06Z,2015-01-16T06:47:36Z,3,125
3J2UYBXQQMPAT2OCFL0D3TVCXT906M,A8L450UGY77XB,3O0M2G5VC6FCOPAI6QLPANH7SK049T,2015-01-20T17:37:49Z,2015-01-20T17:41:38Z,2015-01-20T18:42:39Z,3,125
3HHRAGRYX9IIE2ITFD50D4IWLXZO9D,AYALPYEQ512PP,362E9TQF2H3LB6W55LT3W5DD1FVGIA,2015-01-20T20:03:42Z,2015-01-20T20:05:17Z,2015-01-20T21:07:37Z,3,125
3B2X28YI3XSBDPRMD1X2NARVOUIB6P,A3HPVFAF1U9WXK,3AA88CN98PGC3S7TZU0LGLZUYFAYK1,2015-01-17T17:44:07Z,2015-01-17T17:45:55Z,2015-01-17T18:47:37Z,3,125
3YOH7BII0AKXLIAHKMI3Y5QKSHTKVK,A19PATBI3SQNU0,3CMV9YRYP3EXS9UCYUBJLYXLAB6LJX,2015-01-16T14:37:25Z,2015-01-16T14:51:42Z,2015-01-16T15:52:37Z,3,125
3Y5140Z9DYTTA3NXY7OSFXMPEPLIP4,A11GZNNVLEWRGF,3ZG552ORAMH0II8Y5D7X9Q96ZYLV22,2015-01-17T08:32:53Z,2015-01-17T08:35:27Z,2015-01-17T09:37:36Z,3,125
